row_type,code_id,code_label,definition,include_when,exclude_when,code_type,related_research_question,example_source,status,notes
TEMPLATE,TEMPLATE,TEMPLATE,TEMPLATE,TEMPLATE,TEMPLATE,TEMPLATE,TEMPLATE,TEMPLATE,TEMPLATE,SYNTHETICKÝ PILOT — NE EMPIRICKÁ DATA; TEMPLATE
CODE,C001,label-practice-gap,Praxe existuje bez označení ESG nebo označení neodpovídá skutečnému řízení,Respondent popíše konkrétní E/S/G praktiku a současně distanc od nálepky ESG,Pouhá absence slova ESG bez popisu praxe,latent,Q1,data/synthetic-pilot-interviews.md,draft,SYNTHETICKÝ PILOT — NE EMPIRICKÁ DATA; Syntetická data nejsou empirickým důkazem
CODE,C002,external-trigger,Prvotní impuls přichází od regulátora zákazníka banky nebo mateřské skupiny,Je uveden konkrétní externí aktér nebo požadavek který implementaci spustil,Obecná společenská očekávání bez konkrétního aktéra,sémantický,Q2,data/synthetic-pilot-interviews.md,draft,SYNTHETICKÝ PILOT — NE EMPIRICKÁ DATA
CODE,C003,operational-anchor,Agenda přetrvává díky úsporám riziku bezpečnosti nebo provoznímu výkonu,Respondent propojí opatření s měřeným provozním nebo rizikovým důvodem,Pouze očekávaný reputační přínos,sémantický,Q1; Q4,data/synthetic-pilot-interviews.md,draft,SYNTHETICKÝ PILOT — NE EMPIRICKÁ DATA
CODE,C004,fragmented-ownership,Odpovědnost je rozdělena bez funkční koordinace jasného vlastníka nebo eskalace,Mezery vznikají mezi financemi HR provozem či jinými funkcemi,Koordinované rozdělení rolí s jasným řízením,sémantický,Q3,data/synthetic-pilot-interviews.md,draft,SYNTHETICKÝ PILOT — NE EMPIRICKÁ DATA
CODE,C005,person-dependency,Proces stojí na jediné osobě a postrádá zastupitelnost nebo dokumentované předání,Agenda se při absenci konkrétní osoby zastaví nebo výrazně oslabí,Běžný určený vlastník s dokumentací,sémantický,Q3,data/synthetic-pilot-interviews.md,draft,SYNTHETICKÝ PILOT — NE EMPIRICKÁ DATA
CODE,C006,data-friction,Problém dostupnosti definice srovnatelnosti nebo původu dat,Respondent popíše odhady opakovaný sběr chybějící data či nejasné hranice,Pouhý nesouhlas s ESG bez datové dimenze,sémantický,Q3; Q6,data/synthetic-pilot-interviews.md,draft,SYNTHETICKÝ PILOT — NE EMPIRICKÁ DATA
CODE,C007,reporting-decision-gap,Data jsou sbírána pro výkaz ale jejich vazba na rozhodování je slabá,Detail slouží reportu bez jasného využití v investičním nebo rizikovém rozhodnutí,Ukazatel prokazatelně použitý v rozhodnutí,sémantický,Q1; Q3,data/synthetic-pilot-interviews.md,draft,SYNTHETICKÝ PILOT — NE EMPIRICKÁ DATA
CODE,C008,benefit-evidence-tier,Tvrzený přínos je zařaditelný podle síly dostupného důkazu,Respondent rozlišuje měřený výsledek procesní výsledek korelaci nebo očekávání,Obecné pozitivní tvrzení bez možnosti zařazení,analytický,Q4,data/synthetic-pilot-interviews.md,draft,SYNTHETICKÝ PILOT — NE EMPIRICKÁ DATA; Úrovně A přímý výsledek; B procesní či obchodní; C indicie; D očekávání
CODE,C009,deadline-not-pressure,Regulatorní změna posune harmonogram nebo rozsah ale jiné tlaky pokračují,Po odkladu či zúžení reportingu přetrvává tlak zákazníků skupiny bank nebo provozu,Agenda je zcela ukončena,sémantický,Q6,data/synthetic-pilot-interviews.md,draft,SYNTHETICKÝ PILOT — NE EMPIRICKÁ DATA
CODE,C010,translation-work,Aktéři převádějí abstraktní ESG do provozního nebo rozhodovacího jazyka,Respondent vysvětluje ESG přes energii zmetkovitost bezpečnost riziko či jiný konkrétní dopad,Prosté zjednodušení formuláře bez významového překladu,latent,Q1; Q2,data/synthetic-pilot-interviews.md,draft,SYNTHETICKÝ PILOT — NE EMPIRICKÁ DATA
