segment_id,case_id,document_id,locator,neutral_paraphrase,primary_codes,evidence_class,claim_status,analytic_use,limitation,verified_on
CEZ-001,CEZ,CEZ-AFR-2024,"p. 27, Strategic Vision 2030","The VISION 2030 strategy defines portfolio decarbonisation, customer solutions and responsible development according to ESG principles as three strategic priorities.","MAT-BM;MOT-REG;E2",E2,corporate_claim,"Shows that ESG is positioned inside the core corporate strategy rather than only in a reporting appendix.","The statement does not by itself demonstrate implementation or achievement.",2026-09-01
CEZ-002,CEZ,CEZ-AFR-2024,"p. 414–415, Sustainability Governance","The Board entrusted sustainability management to a Board member acting as Chief Sustainability Officer and established an ESG Advisory Committee and working structure.","GOV-BOARD;GOV-OWNER;GOV-COM;E2",E2,corporate_claim,"Evidence of formal ownership and multi-level coordination.","Existence of the structure does not prove its effectiveness.",2026-09-01
CEZ-003,CEZ,CEZ-AFR-2024,"p. 415, Sustainability Governance","The Supervisory Board assigned all Board members a common ESG development task and evaluates progress when determining the annual variable remuneration component.","DEC-REM;GOV-BOARD;E3",E3,corporate_claim,"Direct managerial incentive link.","The public text does not fully disclose the weight or realised payout effect of the task.",2026-09-01
CEZ-004,CEZ,CEZ-AFR-2024,"p. 425–426, Double Materiality Assessment","The Group describes a double materiality process combining financial risks and opportunities with impacts and identifies information sources including environmental assessments and internal processes.","MAT-DMA;MET-BND;GOV-CTL;E2",E2,corporate_claim,"Shows formalised materiality assessment and a documented process.","The study did not independently reproduce the underlying scoring or stakeholder evidence.",2026-09-01
CEZ-005,CEZ,CEZ-AFR-2024,"p. 434, E4 Biodiversity and Ecosystems","Coal mining is classified as an actual, long-term negative impact with permanent effects on habitats and biodiversity; reduction and cessation of mining are listed as actions.","NEG-ADV;MAT-BM;E2",E2,corporate_claim,"Balanced disclosure of a material adverse impact central to the business model.","The report remains the Group's own assessment; ecological magnitude was not independently verified here.",2026-09-01
CEZ-006,CEZ,CEZ-AFR-2024,"p. 453, E1 Climate Change","The Group states that it is excluded from the EU Paris-aligned Benchmark because more than one percent of operating revenue relates to lignite activities.","NEG-TRD;NEG-ADV;MET-BND;E2",E2,corporate_claim,"Makes the continuing fossil-fuel exposure visible rather than presenting transition as completed.","Benchmark exclusion is not a complete assessment of the transition plan.",2026-09-01
CEZ-007,CEZ,CEZ-AFR-2024,"p. 454, Linking the Transition Plan to the Investment Plan","The transition plan is approved through the business concept and business and investment plan; the 2025–2030 investment plan is described as aligned with decarbonisation ambitions.","DEC-CAPEX;MAT-BM;GOV-CTL;E3",E3,corporate_claim,"Strong evidence that the transition is connected to capital allocation.","The text shows governance alignment, not that every individual project will deliver the stated effect.",2026-09-01
CEZ-008,CEZ,CEZ-AFR-2024,"p. 455, E1 Climate Change","CEZ commits to reduce emission intensity by more than 50 percent by 2030 from a 2019 baseline and to reach climate neutrality by 2040.","MET-BAS;MET-RES;E2",E2,metric,"Time-bound target with baseline and defined intensity measure.","An intensity target may improve while absolute emissions follow a different path.",2026-09-01
CEZ-009,CEZ,CEZ-AFR-2024,"p. 478, Own Workforce and Just Transition","The report identifies job loss and regional economic disruption as consequences of coal phase-out and commits to reassignment, reskilling or compensation for affected employees.","NEG-ADV;DEC-OPS;MAT-STK;E2",E2,corporate_claim,"Shows treatment of a social trade-off generated by environmental transition.","The commitment is prospective; implementation outcomes require later evidence.",2026-09-01
CEZ-010,CEZ,CEZ-AFR-2024,"p. 529, EU Taxonomy and CapEx plan","The current 2025–2030 investment plan is focused on areas where the Group expects 75 percent taxonomy alignment, especially renewable energy and related infrastructure.","DEC-CAPEX;MET-BAS;E3",E3,corporate_claim,"Quantified connection between taxonomy classification and planned capital allocation.","Expected future alignment is not the same as realised aligned CapEx or verified environmental impact.",2026-09-01
CEZ-011,CEZ,CEZ-AFR-2024,"p. 558–560, Independent Limited Assurance Report","An independent practitioner performed limited assurance under ISAE 3000 over the sustainability report and reviewed the described materiality and reporting processes, including selected site visits.","ASS-LIM;MET-BND;E3",E3,assurance_statement,"Improves reliability of specified disclosures and process description.","Limited assurance is substantially lower than reasonable assurance and does not conclude on the effectiveness of the materiality process or real-world impact.",2026-09-01
MON-001,MONETA,MONETA-SR-2024,"p. 1, Sustainability at MONETA","MONETA explains that CSRD moved mandatory non-financial disclosure into the annual financial report, while a separate reader-oriented report was retained for accessibility.","MOT-REG;MOT-LEG;NEG-TRD;E1",E1,corporate_claim,"Shows coexistence of compliance reporting and voluntary communication for different audiences.","A separate report can improve accessibility but may also select and simplify information.",2026-09-01
MON-002,MONETA,MONETA-SR-2024,"p. 2, CEO foreword","The CEO characterises excessive reporting as ineffective and argues that ESG objectives must be balanced with competitiveness.","NEG-TRD;MOT-OPS;MOT-REG;E1",E1,corporate_claim,"Rare explicit acknowledgement of tension between reporting, transition and competitiveness.","This is an executive interpretation, not empirical evidence that specific reporting duties are meaningless.",2026-09-01
MON-003,MONETA,MONETA-SR-2024,"p. 2, CEO foreword","MONETA reports decreasing investor interest in ESG in 2024 and says it updated KPIs to emphasise tangible efforts while retaining sustainable targets.","MOT-MKT;NEG-CHG;MET-BAS;E1",E1,corporate_claim,"Shows that KPI design responds to changing stakeholder attention.","The report does not quantify the change in investor interest.",2026-09-01
MON-004,MONETA,MONETA-SR-2024,"p. 12–14, Double Materiality Assessment","The Bank describes data sources, stakeholder consultations, value-chain scope, scoring, management thresholds and validation used to identify five material ESRS topics.","MAT-DMA;MAT-STK;MET-BND;GOV-BOARD;E2",E2,corporate_claim,"Detailed formal materiality process linked to management validation.","Underlying scores and consultation records were not independently available.",2026-09-01
MON-005,MONETA,MONETA-SR-2024,"p. 17, Key Sustainability Goals","The KPI table reports baselines, 2023 and 2024 performance and targets, including 88.8 percent Scope 1 and 2 reduction from 2016 against a 90 percent 2026 target and an 83 percent electric fleet share.","MET-BAS;MET-TS;MET-RES;E2",E2,metric,"Comparable target architecture and progress tracking.","Operational emissions represent a small part of a bank's total climate footprint compared with financed emissions.",2026-09-01
MON-006,MONETA,MONETA-SR-2024,"p. 18–19, Integration of ESG into Remuneration","ESG-related KPIs materially affect variable remuneration of responsible Board members and material risk takers; qualitative KPIs together have a 30 percent weight.","DEC-REM;GOV-BOARD;MET-BAS;E3",E3,corporate_claim,"Strong formal link between ESG performance and executive incentives.","The exact ESG share within the qualitative component and realised payout effects are not fully disclosed here.",2026-09-01
MON-007,MONETA,MONETA-SR-2024,"p. 20, Environmental Responsibility","MONETA states that it has not yet defined measurable outcome-driven targets for Scope 3 financed emissions even though these are the largest contributor to its carbon footprint.","NEG-GAP;MAT-BM;MET-BND;E2",E2,limitation,"High-value negative evidence: the report identifies the gap in the most material climate area.","A declared work in progress is not evidence that the future target will be adequate.",2026-09-01
MON-008,MONETA,MONETA-SR-2024,"p. 21, Carbon Footprint Journey","The methodology for commercial portfolio financed emissions was verified with reasonable assurance; coverage was later expanded to car loans and mortgages and alignment with PCAF was planned.","ASS-REA;MET-BND;NEG-CHG;E4",E4,assurance_statement,"Strong evidence for the reliability and progressive expansion of a defined calculation, not for decarbonisation of the portfolio.","Assurance covers the calculation and scope stated, not the achievement of an emissions-reduction outcome.",2026-09-01
