theme_id,theme_name,case_id,case_position,strongest_support,source_segments,counter_or_boundary_evidence,analytic_interpretation,review_status
T1,"Standardised architecture, unequal managerial depth",CEZ,"ESRS structure is paired with extensive governance, investment and assurance mechanisms.","Board-level CSO; DMA; transition plan linked to investment plan; limited assurance.","CEZ-002;CEZ-004;CEZ-007;CEZ-011","Assurance is limited and explicitly does not test effectiveness; continuing lignite exposure remains.","Formal standardisation is accompanied by decision links, but it cannot establish transition effectiveness.",verified
T1,"Standardised architecture, unequal managerial depth",MONETA,"CSRD and ESRS shape materiality, targets and governance while a separate report translates disclosure for a broader audience.","Detailed DMA; KPI table; Board-level Sustainability Committee.","MON-001;MON-004;MON-005;MON-010","The reader-oriented report selects content and the Bank criticises the burden of technical reporting.","Regulation standardises disclosure, while management actively reshapes how the information is communicated.",verified
T1,"Standardised architecture, unequal managerial depth",O2,"The report adopts ESRS-oriented materiality during a GRI-to-CSRD transition.","DMA; four-pillar ESG strategy; CSRD readiness project.","O2-001;O2-003","Targets were being reset; no ESG KPI for evaluation of the highest governance body; no assurance.","Architecture is emerging but not yet matched by the same depth of target continuity and governance incentives.",verified
T1,"Standardised architecture, unequal managerial depth",SKODA,"The online report uses a broad strategy-governance-metrics structure aligned with group and EU frameworks.","2030 goals; governance model; taxonomy metrics; GreenFuture control system.","SKO-002;SKO-005;SKO-006;SKO-007","Group boundaries complicate attribution of policies and results to the Czech company alone.","Structured reporting coexists with a group-embedded governance context that requires careful attribution.",verified
T2,"Operational or financial anchor converts ESG into management",CEZ,"Climate transition is anchored in generation portfolio and capital allocation.","Transition plan approved through the business and investment plan; 75% expected taxonomy alignment of 2025–2030 investment plan.","CEZ-007;CEZ-010","Expected alignment and intensity targets do not guarantee realised absolute emissions reductions.","The strongest integration signal is not the strategy label but the capital-plan connection.",verified
T2,"Operational or financial anchor converts ESG into management",MONETA,"The agenda is tied to executive incentives, risk processes and portfolio emissions.","Variable remuneration; financed-emissions methodology; committee and lines of defence.","MON-006;MON-008;MON-010","No measurable outcome-driven target yet exists for financed emissions, the largest climate component.","Governance is advanced relative to portfolio outcome targets; integration and substantive climate ambition are not identical.",verified
T2,"Operational or financial anchor converts ESG into management",O2,"Material topics are tied to infrastructure efficiency, cybersecurity and supplier relationships.","Energy efficiency considered in server and data-centre upgrades; ESG committee; supplier programme.","O2-004;O2-008;O2-009","Energy use and Scope 1+2 emissions rose; supplier engagement is an activity metric rather than demonstrated performance change.","Sector-specific operational anchors exist, but outcome evidence remains mixed.",verified
T2,"Operational or financial anchor converts ESG into management",SKODA,"ESG is embedded in product development, factory management, taxonomy-linked CapEx and supplier targets.","Life-cycle product approach; GreenFuture controls; 71% taxonomy-aligned CapEx; supplier A-rating target.","SKO-004;SKO-006;SKO-007;SKO-008","Taxonomy alignment and A-ratings are classification mechanisms, not complete evidence of impact.","Industrial integration is visible across product, production and procurement decisions.",verified
T3,"Governance quality is visible through ownership, cadence and corrective power",CEZ,"A Board member acts as CSO, supported by committees and remuneration accountability.","Board ownership and common ESG task affecting annual variable pay.","CEZ-002;CEZ-003","Public disclosure does not specify the full weight and realised effect of the ESG remuneration task.","Governance is formalised and connected to incentives, but effectiveness remains partially opaque.",verified
T3,"Governance quality is visible through ownership, cadence and corrective power",MONETA,"The CEO-chaired Sustainability Committee meets quarterly and can propose corrections; Board KPIs affect pay.","Committee mandate and cadence; three lines of defence; variable remuneration.","MON-006;MON-010","Committee minutes and decision examples are not public.","MONETA provides the clearest combined evidence of cadence, authority and incentive connection.",verified
T3,"Governance quality is visible through ownership, cadence and corrective power",O2,"The Board receives ESG status reports twice yearly and a cross-functional ESG Committee oversees due diligence.","Board reporting cadence and multi-function committee.","O2-009","The GRI index states that ESG KPIs for evaluating the highest governance body were absent.","Formal oversight exists, but incentive and performance-evaluation integration was incomplete in 2024.",verified
T3,"Governance quality is visible through ownership, cadence and corrective power",SKODA,"Defined governance roles and an external council connect expertise to the Board of Management.","Governance model; 2024 Board meeting with the external council; union dialogue.","SKO-005;SKO-010","The report does not show which specific decisions changed after external or employee input.","Consultation and expertise are documented more clearly than their decision consequences.",verified
T4,"Metrics favour activities and operational outcomes over verified impact",CEZ,"Targets and operating indicators are detailed and externally assured at report level.","Emission-intensity target; social transition commitments; assurance process.","CEZ-008;CEZ-009;CEZ-011","Intensity is not absolute emissions; prospective worker commitments are not outcomes; limited assurance does not verify impact effectiveness.","Measurement is strongest for controlled operational variables and weakest for causal long-term effects.",verified
T4,"Metrics favour activities and operational outcomes over verified impact",MONETA,"Operational climate and workforce metrics have baselines and trends; one financed-emissions calculation has reasonable assurance.","Operational emissions, fleet share, pay-gap trend and verified financed-emissions method.","MON-005;MON-008;MON-011","The largest climate category lacks an outcome-driven reduction target and portfolio coverage changed over time.","Method quality can be strong even when the substantive transition target is incomplete.",verified
T4,"Metrics favour activities and operational outcomes over verified impact",O2,"The report offers many output counts and a multi-year emissions inventory.","Supplier engagement, ESG training, digital-literacy reach, cyberattacks blocked, Scope 1–3 values.","O2-004;O2-005;O2-007","Participation and attack counts do not prove changed behaviour or avoided harm; historical emissions were restated and the report is not assured.","High metric volume should not be mistaken for high evidential strength.",verified
T4,"Metrics favour activities and operational outcomes over verified impact",SKODA,"Product and factory targets include baselines, while taxonomy exposes capital allocation.","DCI target, UEP indicators, water intensity, aligned CapEx.","SKO-002;SKO-003;SKO-006;SKO-009","The online summary omits some current values and methodologies; intensity measures can diverge from absolute impacts.","Decision and operational metrics are visible, but causal environmental and social impacts remain harder to establish.",verified
T5,"Disclosed tension and revision increase informational value",CEZ,"The report acknowledges continuing lignite exposure, permanent mining impacts and social costs of phase-out.","Benchmark exclusion; biodiversity impact; job and regional risks.","CEZ-005;CEZ-006;CEZ-009","Mitigation commitments are prospective and corporate framing may still understate external perspectives.","Negative disclosure makes the transition narrative more decision-useful without independently validating adequacy.",verified
T5,"Disclosed tension and revision increase informational value",MONETA,"The report states declining investor attention, criticises reporting burden, discloses a worsened pay gap, missing financed-emission target and cancelled KPI.","CEO foreword and explicit limitations in metric tables.","MON-002;MON-003;MON-007;MON-011;MON-012","Some criticism is executive opinion and the cancelled target lacks a reason.","MONETA is unusually explicit about contestation and incompleteness, which improves balance but does not resolve the gaps.",verified
