code_id,code_family,code_name,definition,include_when,exclude_when,example,evidence_relevance,version
MOT-REG,motivation,regulatory_pressure,"Regulation, supervision or a mandatory standard is presented as a reason for action or reporting.","The document links a process, investment, data collection or report to CSRD, ESRS, Taxonomy, banking or sector regulation.","Regulation appears only in a glossary or generic context.","CSRD readiness caused a new data-control process.",context,v2
MOT-MKT,motivation,market_or_investor_pressure,"Investor, lender, customer or market expectation influences the agenda.","A stakeholder demand is linked to target selection, product, financing, rating or disclosure.","A stakeholder list is provided without influence.","Investor attention influenced KPI design.",context,v2
MOT-GRP,motivation,group_or_owner_pressure,"Parent group, owner or controlling shareholder shapes a policy, target or reporting boundary.","The report attributes a commitment, target or reset to group governance.","The group is mentioned only in company description.","Goals were reset after separation from a former group framework.",context,v2
MOT-OPS,motivation,operational_anchor,"Action is justified by cost, resilience, safety, reliability, efficiency or core operational performance.","The report connects ESG action to operating performance or continuity.","Only moral or reputational language is used.","Energy efficiency is used in server-upgrade decisions.",E2-E3,v2
MOT-LEG,motivation,legitimacy_or_reputation,"Action or disclosure is linked to trust, reputation, public acceptance or stakeholder confidence.","The report explicitly frames transparency, rating or social licence as a benefit.","Public communication alone is not sufficient.","A separate report is retained for accessibility to stakeholders.",context,v2
MAT-DMA,materiality,double_materiality_process,"A process identifies impact materiality and financial materiality.","Methods, thresholds, stakeholders, value-chain boundaries or validation are described.","The words double materiality appear without process detail.","Management validates material IROs after scoring.",E1-E2,v2
MAT-BM,materiality,business_model_link,"A material topic is connected to how the company creates value or to its core product or service.","The report explains why the topic matters to the sector or business model.","A topic is merely listed as material.","Financed emissions are linked to the lending portfolio.",E2-E3,v2
MAT-STK,materiality,stakeholder_input,"Stakeholder engagement informs materiality, strategy or priorities.","The stakeholder group, engagement channel and use of input are identified.","A stakeholder list has no described influence.","A trade union regularly discusses the social strategy.",E1-E2,v2
GOV-BOARD,governance,board_oversight,"A board or supervisory body has an explicit sustainability oversight role.","Responsibility, reporting cadence, approval or evaluation is stated.","Board members are merely named.","An ESG status report is presented to the board twice a year.",E2,v2
GOV-OWNER,governance,executive_owner,"A named function or executive owns the ESG agenda.","Role and authority are described.","A spokesperson is quoted without responsibility.","A board member performs the Chief Sustainability Officer role.",E2,v2
GOV-COM,governance,dedicated_committee,"A dedicated ESG or sustainability committee coordinates or oversees decisions.","Membership, mandate, cadence or correction power is provided.","A committee is named without any role.","A CEO-chaired committee reviews targets quarterly.",E2,v2
GOV-CAD,governance,reporting_cadence,"The organisation specifies how often performance or risks are reviewed.","A recurring review is linked to a body or KPI.","A one-off meeting with no recurring process.","Strategic KPIs are evaluated quarterly.",E2,v2
GOV-CTL,governance,internal_control,"Controls, lines of defence, audit, due diligence or corrective action are described.","The mechanism can verify, escalate or change action.","A general promise to comply.","Risk and compliance functions form additional lines of defence.",E2-E3,v2
GOV-SKL,governance,skills_and_expertise,"The report describes sustainability expertise, training or external advice used by governance bodies.","Expertise is tied to ability to oversee or decide.","General employee awareness only.","An external sustainability council advises the board.",E1-E2,v2
DEC-CAPEX,integration,capital_allocation,"Sustainability affects an investment plan or capital expenditure.","A target, taxonomy assessment or transition plan is linked to CapEx approval or portfolio allocation.","Green projects are listed without an allocation mechanism.","A transition plan is approved through the investment plan.",E3,v2
DEC-OPEX,integration,operating_allocation,"Sustainability affects an operating budget or recurring resource allocation.","OpEx is assigned or classified with a decision mechanism.","A one-off donation has no governance link.","Taxonomy-aligned OpEx is used in company decisions.",E3,v2
DEC-RISK,integration,risk_management,"ESG information changes risk identification, limits, pricing, underwriting or mitigation.","A risk process, matrix, control or decision rule is described.","Risk is mentioned generically.","Climate data enter underwriting or collateral valuation.",E3,v2
DEC-REM,integration,remuneration_link,"ESG performance affects variable compensation or evaluation.","A KPI, weight, target or assessment process is stated.","Remuneration is described without an ESG link.","Board ESG KPIs materially affect variable remuneration.",E3,v2
DEC-PROD,integration,product_or_portfolio,"ESG shapes a product, service or financed portfolio.","Design, eligibility, exclusion, target or portfolio shift is described.","A product is called sustainable without criteria.","Low-emission vehicle development covers the product life cycle.",E2-E3,v2
DEC-SUP,integration,supplier_and_procurement,"ESG criteria affect supplier selection, monitoring or purchasing.","Rating, audit, due diligence, corrective action or procurement condition is used.","A supplier code exists without evidence of application.","Strategic suppliers are subject to a sustainability rating target.",E1-E3,v2
DEC-OPS,integration,operational_decision,"ESG metrics influence operations, maintenance or process design.","The report links a metric to a concrete recurring operational choice.","An activity is described without a decision mechanism.","Energy efficiency affects data-centre upgrade selection.",E2-E3,v2
MET-BAS,metrics,baseline_and_target,"A metric has a baseline, target value and target year.","At least a comparable base and time-bound target are stated.","An aspiration lacks a baseline or date.","Emission intensity is to decline by 2030 from a 2019 baseline.",E2,v2
MET-TS,metrics,time_series,"Comparable values are shown across multiple periods.","At least two periods use a sufficiently explained boundary.","A single current value is shown.","Scope 1–3 values are shown for 2022–2024.",E2,v2
MET-BND,metrics,boundary_and_method,"The organisational or methodological boundary is explained.","Entities, scopes, calculation method, exclusions or restatement are stated.","A metric label is provided without method or scope.","Historical values were recalculated after a methodology change.",E2-E4,v2
MET-OUT,metrics,output_metric,"A metric records activity or immediate output rather than downstream change.","Counts of participants, projects, suppliers, training or funds are reported.","A validated change in condition or behaviour is measured.","Number of people trained in digital literacy.",E1,v2
MET-RES,metrics,outcome_metric,"A metric records a change in operational, social or environmental condition.","Reduction, rate, intensity or measured change is stated.","Input or activity count only.","Water use per manufactured vehicle declined from the baseline.",E2-E4,v2
MET-IMP,metrics,impact_claim,"The document attributes a broader societal or environmental effect to an action.","Causal or contribution language about downstream impact is used.","An operational output is reported with no broader attribution.","A programme is said to improve community quality of life.",requires_caution,v2
NEG-ADV,balance,negative_impact_disclosed,"The report explicitly describes a material actual or potential adverse impact.","A negative effect, affected group, horizon or persistence is described.","A generic risk disclaimer.","Coal mining is described as having a permanent biodiversity impact.",E1-E2,v2
NEG-WOR,balance,adverse_metric_trend,"A disclosed KPI worsens or moves away from target.","The current value is less favourable than a comparable prior value or target.","No comparator is available.","Scope 1+2 emissions increase year on year.",E2,v2
NEG-GAP,balance,target_or_data_gap,"The report admits a missing target, incomplete data or unavailable information.","A limitation is explicit.","The analyst merely infers that detail is missing.","No outcome target exists for financed emissions.",E1-E2,v2
NEG-CHG,balance,target_or_method_change,"A target, boundary or method is reset, cancelled, expanded or restated.","The reason or affected metric is identifiable.","A routine update has no comparability effect.","Historical carbon data are restated after a method change.",E2,v2
NEG-TRD,balance,tradeoff_or_tension,"Competing objectives or costs are acknowledged.","The document discusses competitiveness, affordability, reliability or transition costs against ESG aims.","A generic claim that sustainability creates value.","ESG ambition is explicitly balanced against competitiveness.",E1-E2,v2
ASS-LIM,assurance,limited_assurance,"An independent practitioner provides limited assurance over specified disclosures.","Scope and assurance standard are identifiable.","Internal audit, certification or an award.","ISAE 3000 limited assurance over a sustainability statement.",separate_dimension,v2
ASS-REA,assurance,reasonable_assurance,"An independent practitioner provides reasonable assurance over a specified metric, method or disclosure.","The report explicitly states reasonable assurance and its scope.","Limited assurance or internal verification.","A defined financed-emissions calculation receives reasonable assurance.",separate_dimension,v2
ASS-NON,assurance,no_external_assurance,"The organisation explicitly states that the report was not externally assured.","A non-assurance statement is present.","No assurance report is visible but absence is not stated.","The ESG report states that it was not externally assured.",limitation,v2
SRC-CLAIM,source_status,corporate_claim,"The statement is attributed to the reporting organisation and was not independently verified by this study.","Narrative claims, commitments and company interpretations.","A legal fact from primary law or a result independently verified within scope.","The company states that a programme created positive change.",caution,v2
SRC-MET,source_status,metric,"The segment reports a numerical measure or target produced by the organisation.","A defined value, time series, baseline or target is presented.","Pure narrative with no measurable value.","Adjusted pay gap changed from one year to the next.",boundary_required,v2
SRC-LIM,source_status,explicit_limitation,"The organisation explicitly acknowledges a gap, uncertainty, adverse trend or missing element.","The limitation is stated in the source.","The analyst infers silence.","No outcome target has yet been established.",high_information_value,v2
SRC-INT,source_status,analyst_interpretation,"Meaning is constructed by the analyst rather than directly stated.","A cross-case pattern, typology or inferred relationship is proposed.","A neutral paraphrase of the source.","Decision integration is stronger where targets enter capital allocation.",caution,v2
E0,evidence_strength,declaration,"A value statement or strategic commitment is made without a concrete mechanism.","No owner, activity, metric or decision link is provided.","A concrete project or target is reported.","Sustainability is a strategic priority.",E0,v2
E1,evidence_strength,activity_or_output,"A specific action or output is disclosed, while management mechanism or outcome remains weak.","A project, training count, supplier engagement or donation is reported.","A time-bound managed result or decision link is explicit.","Two hundred suppliers were engaged.",E1,v2
E2,evidence_strength,formalised_process_or_managed_result,"A target, owner, process, method, boundary, time series or correction is sufficiently specified.","At least one formal management or comparable-result mechanism is visible.","A direct allocation, risk, product, supplier, remuneration or operational decision link is explicit.","A metric has a baseline, target year and annual progress.",E2,v2
E3,evidence_strength,decision_link,"Sustainability information demonstrably enters allocation, risk, product, procurement, remuneration or operational choice.","A formal decision consequence or rule is explicit.","A strategic priority, committee or assured report exists without a decision link.","An ESG KPI affects variable remuneration.",E3,v2
E4,evidence_strength,externally_supported_specific_result,"A specifically bounded result or calculation has a clear method and strong independent support through assurance or triangulation.","The external support covers the exact result and the claim stays within that scope.","General report assurance, a decision link without verification, or an untested causal impact claim.","A defined financed-emissions calculation is subject to reasonable assurance.",E4,v2
