id,title,type,status_as_of_2026-09-01,scope_or_subject,thresholds_or_dates,authority,url,verification_note
EU-01,Directive (EU) 2022/2464 (CSRD),EU directive,Platné právo (ve znění pozdějších změn),Corporate sustainability reporting; amendments to Directive 2013/34/EU,Původní reportingové vlny; ověřit přechodná ustanovení po 2025/794 a 2026/470,EU Parliament and Council,https://eur-lex.europa.eu/eli/dir/2022/2464/oj,Primární znění EUR-Lex; pro aktuální scope použít konsolidované znění a pozdější změny.
EU-02,Commission Delegated Regulation (EU) 2023/2772 (ESRS),delegated regulation,Platné právo; základní sada ESRS,European Sustainability Reporting Standards; double materiality and disclosures,Použije se podle účetního období a scope CSRD; sektorové standardy a přechody ověřit v aktuálním právu,European Commission,https://eur-lex.europa.eu/eli/reg_del/2023/2772/oj,Přílohy jsou součástí právního aktu.
EU-03,Directive (EU) 2025/794 (stop-the-clock),EU directive,Platné právo,Odklad některých CSRD reportingových vln a CSDDD transpozičního termínu,Konkrétní účetní roky a transpoziční lhůty podle článků směrnice,EU Parliament and Council,https://eur-lex.europa.eu/eli/dir/2025/794/oj,Odklad termínu není automatické zrušení působnosti.
EU-04,Directive (EU) 2026/470 (Omnibus I),EU directive,Platné právo EU; směrnice vyžaduje národní transpozici,"Změny CSRD, CSDDD a souvisejících předpisů","CSRD: >1 000 zaměstnanců a >450 mil. EUR čistého obratu; CSDDD: >5 000 zaměstnanců a >1,5 mld. EUR čistého obratu; transpozice CSDDD do 26. 7. 2028",EU Parliament and Council,https://eur-lex.europa.eu/eli/dir/2026/470/oj,Prahy ověřeny v článcích 2–4 autentického znění; směrnice vstupuje v účinnost 20. den po zveřejnění. Pro konkrétní českou povinnost ověřit transpozici a přechody.
EU-05,Directive (EU) 2024/1760 (CSDDD/CS3D),EU directive,Platné právo ve znění pozdějších změn,Corporate sustainability due diligence; adverse human-rights and environmental impacts,"Po změně 2026/470 jádro scope: >5 000 zaměstnanců a >1,5 mld. EUR čistého obratu; použití od 26. 7. 2029, čl. 16 od účetních období začínajících 1. 1. 2030",EU Parliament and Council,https://eur-lex.europa.eu/eli/dir/2024/1760/oj,Aktuální rozsah a harmonogram číst společně se směrnicí 2026/470 a národní transpozicí.
EU-06,Regulation (EU) 2020/852 (EU Taxonomy),EU regulation,Platné právo,Taxonomy framework; environmental objectives; Article 8 disclosures,Eligibility není alignment; KPI a scope podle čl. 8 a delegovaných aktů,EU Parliament and Council,https://eur-lex.europa.eu/eli/reg/2020/852/oj,Přímo použitelné nařízení; neplést s CSRD scope.
EU-07,Commission Delegated Regulation (EU) 2021/2139,delegated regulation,Platné právo ve znění pozdějších změn,Technical screening criteria for climate mitigation and adaptation,Technická kritéria pro konkrétní činnosti; žádný obecný ESG threshold,European Commission,https://eur-lex.europa.eu/eli/reg_del/2021/2139/oj,Ověřit konsolidované znění po novelách.
EU-08,Commission Delegated Regulation (EU) 2021/2178,delegated regulation,Platné právo ve znění pozdějších změn,Article 8 disclosures; content and presentation; non-financial and financial undertakings,Reporting KPI and transitional rules podle aktuálního znění,European Commission,https://eur-lex.europa.eu/eli/reg_del/2021/2178/oj,Finanční KPI nejsou KPI běžného nefinančního podniku.
EU-09,Commission Delegated Regulation (EU) 2023/2485,delegated regulation,Platné právo ve znění pozdějších změn,Amendments/new activities for climate objectives under Taxonomy,Screening criteria podle příloh,European Commission,https://eur-lex.europa.eu/eli/reg_del/2023/2485/oj,Použít spolu s 2021/2139 a konsolidovanými přílohami.
EU-10,Commission Delegated Regulation (EU) 2023/2486,delegated regulation,Platné právo,Technical screening criteria for four additional environmental objectives,"Water, circular economy, pollution prevention, biodiversity/ecosystems",European Commission,https://eur-lex.europa.eu/eli/reg_del/2023/2486/oj,Primární akt k dalším environmentálním cílům.
