claim_id,manuscript_location,claim_text,claim_type,evidence_or_source,locator,evidence_class,status,limitation_or_counterevidence
CLM-001,"Úvod; 4.2; 5.2","Standardizovaná architektura ESG reportingu zvyšuje strukturální podobnost dokumentů, ale sama neprokazuje stejnou hloubku manažerské integrace.",interpretive,"DiMaggio & Powell 1983; CEZ-001; MON-004; O2-003; SKO-001",cross-case,E2,verified,"Similarity may also reflect voluntary professional norms and group templates, not only regulation."
CLM-002,"Úvod; 4.3; 5.1","Rozhodovací vazba na kapitál, riziko, produkt, dodavatele, odměnu nebo provoz je nejsilnějším zveřejněným znakem přechodu od formalizace k manažerské integraci.",interpretive,"CEZ-003; CEZ-007; CEZ-010; MON-006; O2-008; SKO-006; SKO-007; SKO-008",cross-case,E3,verified,"A disclosed decision link does not prove adequacy, implementation in every decision, or final impact."
CLM-003,"3.8; 4.5; 5.6","Aktivita nebo output nesmí být vydávány za outcome či širší dopad.",methodological,"Hsieh & Shannon 2005; O2-004; O2-005; MET-OUT/MET-RES/MET-IMP code definitions",cross-case,E1-E2,verified,"The distinction remains interpretive when corporate definitions are ambiguous."
CLM-004,"2.2; 2.3","CSRD a ESRS vyžadují zveřejnění governance, strategie, dopadů, rizik a příležitostí, politik, opatření, cílů a metrik na základě dvojí materiality.",legal,"Directive (EU) 2022/2464; Delegated Regulation (EU) 2023/2772","Art. 19a/29a; ESRS 1 and ESRS 2",not_applicable,verified,"This chapter describes the 2024 reporting frame, not a compliance opinion for any case."
CLM-005,"2.5; 4.3; 5.9","Taxonomy eligibility is distinct from taxonomy alignment, and taxonomy KPIs are not a whole-company ESG score.",legal_and_interpretive,"Regulation (EU) 2020/852; Delegated Regulation (EU) 2021/2178; SKO-006; CEZ-010","Article 3 and Article 8 framework",E2-E3,verified,"Taxonomy metrics cover defined environmental activities and reporting boundaries."
CLM-006,"2.4; 5.7","Limited assurance provides less certainty than reasonable assurance and does not automatically verify the effectiveness of strategy or real-world impact.",methodological_and_legal,"Directive (EU) 2022/2464; CEZ-011; MON-008; O2-010",cross-case,E2-E4,verified,"Exact assurance scope must be read from each assurance report."
CLM-007,"3.5","The final evidence ledger contains 45 key segments: 11 CEZ, 12 MONETA, 11 O2 and 11 SKODA.",descriptive,"data/document-corpus.csv; analysis/coding-revisions.csv",dataset,E0-E4,verified,"These are analytically selected key segments, not every relevant sentence in the reports."
CLM-008,"4.1","Final distribution is E0=1, E1=8, E2=27, E3=8 and E4=1.",descriptive,"data/document-corpus.csv with REV-001 override",dataset,E0-E4,verified,"Counts are descriptive and are not used as a company ranking."
CLM-009,"4.2.1; 4.3.1","CEZ connects its transition plan to the business and investment plan.",corporate_evidence,"CEZ-007","CEZ report pp. 454",E3,verified,"The link does not establish that every project will deliver the transition outcome."
CLM-010,"4.3.1","CEZ describes its 2025–2030 investment plan as focused on areas with expected 75% taxonomy alignment.",corporate_evidence,"CEZ-010","CEZ report p. 529",E3,verified,"This is an expected future share, not realised aligned CapEx or impact."
