code_id,code_family,code_name,definition,include_when,exclude_when,example,evidence_relevance
MOT-REG,motivation,regulatory_pressure,"Regulation, supervision or mandatory standard is presented as a reason for action or reporting.","Document links a process, investment, data collection or report to CSRD, ESRS, taxonomy, banking or sector regulation.","Regulation is listed only in a glossary without connection to action.","CSRD readiness project; report integrated into the annual report because of CSRD.",context
MOT-MKT,motivation,market_or_investor_pressure,"Investor, lender, customer or market expectation influences the agenda.","A stakeholder demand is linked to target selection, product, financing, rating or disclosure.","Generic statement that stakeholders are important.","Investor interest influenced KPI design.",context
MOT-GRP,motivation,group_or_owner_pressure,"Parent group, owner or controlling shareholder shapes ESG policy or targets.","The report attributes commitments, standards or restructuring to group governance.","Group name appears only in company description.","Targets reset after separation from a former group framework.",context
MOT-OPS,motivation,operational_anchor,"Action is justified by cost, resilience, safety, reliability, efficiency or core operational performance.","Document connects ESG action to operating costs, efficiency, security or continuity.","Only moral or reputational language is used.","Server upgrades are selected for energy efficiency.",E2-E3
MOT-LEG,motivation,legitimacy_or_reputation,"Action or disclosure is linked to trust, reputation, public acceptance or stakeholder confidence.","Document explicitly frames transparency, rating or social licence as a benefit.","Any public communication is not automatically coded.","Rating is used to provide investors with evidence of sustainability efforts.",context
MAT-DMA,materiality,double_materiality_process,"A process identifies impact materiality and financial materiality.","Methods, thresholds, stakeholders, value-chain boundaries or validation are described.","The words double materiality appear without process detail.","Management validates material IROs after scoring.",E1-E2
MAT-BM,materiality,business_model_link,"A material topic is connected to how the company creates value or to its core products and services.","The report explains why the topic matters to the sector or business model.","A topic is merely listed as material.","Financed emissions are linked to the lending portfolio.",E2-E3
MAT-STK,materiality,stakeholder_input,"Stakeholder engagement informs materiality, strategy or priorities.","The report identifies stakeholder group, engagement channel and use of input.","A stakeholder list has no described influence.","External council discusses risks with the board.",E1-E2
GOV-BOARD,governance,board_oversight,"Board or supervisory body has an explicit sustainability oversight role.","Responsibility, reporting cadence, approval or evaluation is stated.","Board members are merely named.","ESG status is presented to the board twice a year.",E2
GOV-OWNER,governance,executive_owner,"A named function or executive owns the ESG agenda.","Role and authority are described.","A spokesperson is quoted without responsibility.","Board member performs the Chief Sustainability Officer function.",E2
GOV-COM,governance,dedicated_committee,"A dedicated ESG or sustainability committee coordinates decisions.","Membership, mandate or meeting frequency is provided.","A committee is named without any role.","Committee chaired by CEO reviews targets quarterly.",E2
GOV-CAD,governance,reporting_cadence,"The organisation specifies how often performance or risks are reviewed.","Quarterly, annual or other regular review is linked to a body or KPI.","A one-off meeting without recurring process.","Strategic KPIs are evaluated quarterly.",E2
GOV-CTL,governance,internal_control,"Controls, lines of defence, audit, due diligence or corrective action are described.","The mechanism can change or verify action.","General promise to comply.","Risk and compliance functions form the second line of defence.",E2-E3
GOV-SKL,governance,skills_and_expertise,"The report describes sustainability expertise, training or external advice for governance bodies.","Expertise is tied to ability to oversee or decide.","General employee awareness campaign only.","External Sustainability Council advises the Board of Management.",E1-E2
DEC-CAPEX,integration,capital_allocation,"Sustainability affects investment plan or capital expenditure.","A target or taxonomy assessment is linked to CapEx approval or portfolio.","The report lists green projects without capital-allocation link.","Transition plan is approved through the business and investment plan.",E3
DEC-OPEX,integration,operating_allocation,"Sustainability affects operating budget or recurring resource allocation.","OpEx is assigned or classified with a decision mechanism.","One-off donation with no governance link.","Taxonomy-aligned OpEx is measured for decision use.",E3
DEC-RISK,integration,risk_management,"ESG information changes risk identification, limits, pricing, underwriting or mitigation.","A risk process, matrix, control or decision is described.","Risk is mentioned generically.","Climate data are incorporated into underwriting and collateral valuation.",E3
DEC-REM,integration,remuneration_link,"ESG performance affects variable compensation or evaluation.","Weight, KPI, target or assessment process is stated.","Remuneration is described but has no ESG link.","Board ESG KPIs materially affect variable remuneration.",E3
DEC-PROD,integration,product_or_portfolio,"ESG shapes the product, service or financed portfolio.","Design, eligibility, exclusion, target or portfolio shift is described.","A product is called sustainable without criteria.","Low-emission vehicle development covers the product life cycle.",E2-E3
DEC-SUP,integration,supplier_and_procurement,"ESG criteria affect supplier selection, monitoring or purchasing.","A-rating, audit, due diligence or procurement programme is used.","A supplier code exists without evidence of application.","Top suppliers are enrolled in a sustainable procurement programme.",E1-E3
DEC-OPS,integration,operational_decision,"ESG metrics influence operations, maintenance or process design.","The report links a metric to concrete operational change.","Activity is described without decision or process.","Energy efficiency is required in data-centre upgrades.",E2-E3
MET-BAS,metrics,baseline_and_target,"Metric has a baseline, target value and target year.","At least a comparable base and time-bound target are stated.","An aspiration lacks a baseline or date.","Emission intensity is to decline by more than 50% by 2030 from 2019.",E2
MET-TS,metrics,time_series,"Comparable values are shown across multiple periods.","At least two periods use a sufficiently consistent boundary.","A single current value.","Scope 1–3 emissions are shown for 2022–2024.",E2
MET-BND,metrics,boundary_and_method,"Organisational or methodological boundary is explained.","Entities, scopes, calculation method or exclusions are stated.","Metric label alone.","Historical data were recalculated after a method change.",E2-E4
MET-OUT,metrics,output_metric,"Metric records activity or immediate output rather than downstream effect.","Counts of participants, projects, suppliers, training or funds are reported.","A validated change in condition or behaviour.","Number of people trained in digital literacy.",E1
MET-RES,metrics,outcome_metric,"Metric records a change in operational, social or environmental condition.","Reduction, rate, intensity or measured result is stated.","Input or activity count only.","Water use per manufactured vehicle declined by 39.9% since 2010.",E2-E4
MET-IMP,metrics,impact_claim,"Document attributes a broader societal or environmental effect to action.","Causal or contribution language about downstream impact is used.","Operational output with no broader attribution.","Programme is said to improve community quality of life.",requires_caution
NEG-ADV,balance,negative_impact_disclosed,"The report explicitly describes a material actual or potential adverse impact.","Negative effect, affected group, horizon or persistence is described.","Generic risk disclaimer.","Coal mining is described as having a permanent negative biodiversity impact.",E1-E2
NEG-WOR,balance,adverse_metric_trend,"A disclosed KPI worsens or moves away from target.","Current value is less favourable than the comparator.","The report gives no comparator.","Scope 1+2 emissions increased year on year.",E2
NEG-GAP,balance,target_or_data_gap,"The report admits a missing target, incomplete data or unavailable information.","A limitation is explicit.","Analyst merely infers that detail is missing.","No outcome-driven target exists for financed emissions.",E1-E2
NEG-CHG,balance,target_or_method_change,"A target, boundary or method is reset, cancelled or restated.","Reason and affected metric are identifiable.","Routine annual update with no effect on comparability.","Historical carbon data were restated; group restructuring triggered target reset.",E2
NEG-TRD,balance,tradeoff_or_tension,"Competing objectives or costs are acknowledged.","The document discusses competitiveness, affordability, reliability or transition costs against ESG aims.","Generic claim that sustainability creates value.","ESG ambition is explicitly balanced against competitiveness.",E1-E2
ASS-LIM,assurance,limited_assurance,"An independent practitioner provides limited assurance over specified disclosures.","Scope and standard of assurance are identifiable.","Internal audit or an award.","ISAE 3000 limited assurance over the sustainability statement.",E3-E4
ASS-REA,assurance,reasonable_assurance,"Independent reasonable assurance covers a specified metric or disclosure.","The report explicitly states reasonable assurance.","Limited assurance.","Financed-emission calculation verified with reasonable assurance.",E4
ASS-NON,assurance,no_external_assurance,"The organisation states that the report was not externally assured.","Explicit non-assurance statement.","No assurance report is visible but absence is not stated.","O2 ESG Report 2024 was not externally assured.",limitation
SRC-CLAIM,source_status,corporate_claim,"Statement is attributed to the reporting organisation and not independently verified by this study.","Most narrative claims in corporate reports.","Externally sourced legal fact or independently assured result within scope.","The company states that a programme generated positive change.",caution
SRC-INT,source_status,analyst_interpretation,"Meaning is constructed by the analyst rather than directly stated.","Cross-case pattern, typology or inferred gap.","Neutral paraphrase of the document.","Decision integration is stronger where targets are tied to capital allocation.",caution
E0,evidence_strength,declaration,"Value statement or commitment without a concrete mechanism.","No owner, metric, activity or decision link.","Concrete project or target.","Sustainability is a main priority.",E0
E1,evidence_strength,activity,"Specific action or output is disclosed but management mechanism or outcome remains weak.","Project, training, supplier engagement or donation count.","Time-bound result with governance and decision link.","Two hundred suppliers were engaged.",E1
E2,evidence_strength,managed_result,"Target, owner, process, method or monitored result is sufficiently specified.","At least two of target, owner, cadence, method, time series or correction are present.","A decision-allocation link is directly demonstrated.","Metric has baseline, target year and annual progress.",E2
E3,evidence_strength,decision_link,"Sustainability demonstrably affects allocation, risk, product, procurement or reward.","A formal decision mechanism is explicit.","Strategic priority without actual decision link.","ESG KPI changes variable remuneration.",E3
E4,evidence_strength,verifiable_impact,"Specific result has a clear boundary and method plus strong independent verification or triangulation.","Assurance scope covers the metric and the claim does not exceed what was assured.","Assurance exists only for the report generally or causality is unproven.","A defined emissions metric is independently verified with reasonable assurance.",E4
